language,location,messsage
en,"Bristol, UK",10 historical facts about Paris’s Notre-Dame cathedral https://t.co/aGKupLXSBk #NotreDameCathedralFire
es,Estados Unidos,🎥 #AméricaSeEntera | Conmoción mundial por el voraz incendio que destruyó gran parte de la Catedral de Notre Dame https://t.co/IHD9zYDFNf https://t.co/y36p8iV5TG
en,"Asheville, NC",World searches for 'dad &amp; daughter' seen in heartwarming photo before Notre Dame burns https://t.co/puj3sl3UVZ https://t.co/cmnAXOZrik
es,Mexico,#ContraRéplica | #Entérate El videojuego @assassinscreed informó que se suma al apoyo para la reconstrucción de Notre Dame 😱🎮 https://t.co/7dZPxsGEo3
tr,Türkiye,Notre Dame Katedrali’ndeki yangın kasıtlı mı çıkarıldı ? https://t.co/x6sk9o6M5I
en,"Tampa Bay, Fl","RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
pt,"Rio de Janeiro, Brasil",RT @mfgtb_: O incêndio em Notre Dame fez-me perceber que tenho que ficar rica e viajar pelo mundo rápido antes que vá tudo com o crlh
en,"Guararema, Brasil","RT @exame: As fotos de Benoit Tessier, da @reuters, mostram o antes e o depois do incêndio na Catedral de Notre-Dame, em Paris. 😔 https://t.co/5DWlNflB0U"
en,,RT @TheOnion: Notre Dame Gargoyle Going To Stay As Still As Possible Until Arson Investigator Gone https://t.co/ybAQwnNNS3 https://t.co/qWngTYjdKL
en,Los Angeles,"RT @incunabula: If you ever doubt that France is the home of Civilisation:
The beams in the roof of Notre Dame were replaced 160 years ago. Afterwards, an avenue of oaks was planted at Versailles, so that they would have wood of the right age when the job next needed doing. 

The oaks are ready. https://t.co/CYBgnnHKnl"
es,,"Parad ya con Notre Dame joe, que este pobre chaval va a caer malo por vuestra culpa. https://t.co/a8RKO6MJLs"
en,,"RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
en,,RT @rgay: Here is my mom in front of Notre Dame working the hell out of some stripes. https://t.co/ESdaJCyMhD
en,jupiter,"RT @Rjrr_7: Sobreviveu a Revolução Francesa e a duas guerras mundiais. Corou dezenas de Reis. E nela, Napoleão se tornou Imperador. Quase 1 milênio de história. Majestosa foi Notre-Dame. https://t.co/InhHIWu4HY"
ja,東京の南の方と神奈川の北の方,RT @ogugeo: 2015年にパリのノートルダム大聖堂の詳細な三次元データがレーザースキャンや写真測量を用いて構築されており、修復に活用できるという記事。 https://t.co/pv3QoASLrh データの取得者はベルギー人のゴシック建築の研究者で、昨年49歳の若さで病死した Andrew Tallon 氏。貴重なデータを遺してくれた。 https://t.co/kulYo2eBr2
en,"Florida, USA",RT @WhitneyCummings: This Notre Dame Fire turned into people bragging about their vacations to Paris very quickly
th,,"RT @washikirei: คำที่ใช้เรียกศาสนสถานในศาสนาคริสต์มีเยอะหลายคำมาก และถอดเป็นคำไทยได้หลายแบบ

Basilica : มหาวิหาร เช่น St. Peter Basilica (มหาวิหารนักบุญปีเตอร์) ในวาติกัน

Cathedral : อาสนวิหาร เช่น Notre-Dame Cathedral (อาสนวิหารนอทร์-ดาม) ในปารีส

Church : ใช้เรียกโบสถ์ทั่วไป"
en,,"RT @BarackObama: Notre Dame is one of the world’s great treasures, and we’re thinking of the people of France in your time of grief. It’s in our nature to mourn when we see history lost – but it’s also in our nature to rebuild for tomorrow, as strong as we can. https://t.co/SpMEvv1BzB"
en,"Fort Worth, Texas","RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
en,"Madison, Wi",RT @iyad_elbaghdadi: The Xinjiang mosque that the Chinese regime recently bulldozed was as old as the Notre Dame. Not a whimper. https://t.co/w83DdSpnkh
en,"Madison, Wi",RT @iyad_elbaghdadi: The Xinjiang mosque that the Chinese regime recently bulldozed was as old as the Notre Dame. Not a whimper. https://t.co/w83DdSpnkh
pt,,Incendie de Notre-Dame : le feu serait parti de la base de la flèche https://t.co/seJOmjfNvH via @LeParisien_FDiv
es,,RT @PeedrooSaoBento: Lo que más me hace pensar lo de Notre Dame es en la cantidad de lugares que quiero conocer y se van deteriorando o sufren accidentes y puede que ni llegue a conocerlos
ja,遊びに行ったなぁ,RT @wardomatic: Background paintings from Disney's THE HUNCHBACK OF NOTRE DAME (1996). https://t.co/mopBkLRJlG
en,Southern California,"RT @NBCNightlyNews: “Next Sunday, the bells of the cathedral, they won’t ring.” 

Father Stalla-Bourdillon, Spokesman, Archdiocese of Paris, tells @RichardEngel how Easter in Paris will be different after the Notre Dame fire.

More tonight on @NBCNightlyNews. https://t.co/xKv0ilPp3h"
en,Chicago Burbs,"RT @broderick: .@TwitterSupport I think it'd be good to know why Stefan Molyneux is allowed to use his verified Twitter account to push a conspiracy theory that the Notre Dame fire was arson. 

He has almost 400,000 followers. https://t.co/58aVHHWv1S"
en,"Huntington Beach, CA","RT @PrisonPlanet: BuzzFeed lobbies for Big Tech to deplatform people for ""misinformation"".

Then engages in blatant misinformation by crafting an outright hoax that no one celebrated the Notre Dame fire. They did.

Under its own rules, BuzzFeed should be deplatformed.

https://t.co/nx9QheuRKN"
en,,"RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,"Copenhagen, Denmark","RT @grouchybagels: I know this doesn't help, but we have exquisite 3D laser maps of every detail of Notre Dame, thanks to the incredible work of @Vassar art historian Andrew Tallon. Prof Tallon passed away last November, but his work will be absolutely crucial https://t.co/YJl3XXUZTg"
en,Farragut Manor,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,,RT @iyad_elbaghdadi: The Xinjiang mosque that the Chinese regime recently bulldozed was as old as the Notre Dame. Not a whimper. https://t.co/w83DdSpnkh
es,"Montevideo, Uruguay","RT @StefiRossello: Pregunta seria: si nunca miré GOT, no estoy en Brasil y no tengo una maldita foto con Notre Dame de fondo qe mierda subo a instagramm??"
pt,Brasil,RT @PrisonPlanet: A brief summary of who is responding to the tragic Notre Dame fire with 'smiley faces' on Facebook. Appalling. https://t.co/OBANPl9Wpv
es,México,RT @_Fzst: TVN usando imágenes del Minecraft para su reportaje sobre Notre Dame lol https://t.co/VzqxoJ1Uh5
en,SMK Rantau Petronas,"RT @MIUSEOFFICIAL: Some French billionaires have pledged 600+ million euros for Notre Dame in less than 12 hours. Shows how easily billionaires could end world hunger, poverty, lack of access to healthcare/clean water/education but don't. 600+ million in twelve hours from just 3 people."
es,Argentina,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
es,Mordor,"RT @BryceElder: Restoration of Notre Dame should be mindful of its past while revealing its unique potential as an urban mixed-use development. Here at Pick Rogarth + Baumsnatch, we believe... https://t.co/7XkTyPppo7"
en,,"RT @BluRadioCo: ¿Milagro? Cruz de Notre Dame, intacta tras incendio, se vuelve un símbolo de esperanza → https://t.co/OHsNWwA8jH #MañanasBLU https://t.co/0qyyr9Zmhn"
en,,"RT @HoarseWisperer: Over 400 million euros have been pledged to rebuild Notre Dame.

Surely we can help rebuild three churches burned in acts of racist hate. https://t.co/jB88ntOii4"
en,"Chandler, Arizona","RT @LDSLivingMag: ""Our Hearts Are with Beloved Paris"": Sister Eubank Shares Message of Hope After Notre Dame Fire — https://t.co/piilnLDmeF"
es,,"RT @laishawilkins: Se enchina la piel al ver y escuchar a los parisinos cantando el Ave María frente a la Catedral de 
Notre Dame.
 #NotreDame 
https://t.co/46sZH0xs7Q"
en,,RT @yashar: Mayor @PeteButtigieg on the Notre Dame fire  https://t.co/BS88OXCLf7
en,the starz,"RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
en,,RT @bbcmundo: Así fue el incendio en Notre Dame en fotos y gráficos 👉https://t.co/HLU8ZR0Euo https://t.co/x1dc9r6k6s
en,"Toronto, Ontario",And for people who say it doesn’t have historical value.... it’s older then notre dame.... https://t.co/0NnN8HhB5Z
en,,"RT @uo_duck99: Barr Says No Evidence of Fire in Notre Dame Cathedral
 https://t.co/btcLac592J"
en,,"RT @eugenegu: Whereas Flint doesn’t have clean drinking water, Puerto Rico hasn’t fully recovered, and 3 black churches burned to the ground without comment, Trump offers money to rebuild Notre Dame. That’s not America first. That’s white people first, even if they live in far away countries."
en,,RT @madiustangau: One of the world's great treasure in France was damaged in a fire. Cathedral of Notre Dame is not only an iconic symbol of faith to people in Paris but to also all Christians around the world. My heart goes out to Paris. #NotreDameCathedralFire  https://t.co/UG3c7jifwl
en,United States,"RT @PrisonPlanet: BuzzFeed is right.

No one was celebrating the Notre Dame fire.

It was all just a 'conspiracy theory'.

Oh wait.....

FULL VIDEO: https://t.co/nx9QheuRKN https://t.co/Qh04rHtC7t"
en,"NYC, London, Paris, Hong Kong","In those silent, reverent, hymn-singing crowds on the streets of Paris was the possibility of a French coming-together in the determination to rebuild – not only the cathedral, but also a nation shaken by the violence, writes @NYTimesCohen https://t.co/r01WL3rXFY"
en,"providence, ri","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,"Tuscaloosa, AL",RT @JimSichko: Not a huge fan of monarchy but I also believe the priest who saved the Crown of Thorns from the Notre Dame Fire is now the rightful king of France and I’m sending him a bottle of PAPPYs 23!
en,"Sekondi Takoradi, Ghana","RT @GFFN: Lyon defender Jason Denayer on the €600m committed by billionaires to restoring Notre Dame: ""A wonderful gesture but a shame that they don't do the same for the thousands of children dying of famine."" (IG)"
en,"Allen Park, MI","RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
en,India,"RT @BarackObama: Notre Dame is one of the world’s great treasures, and we’re thinking of the people of France in your time of grief. It’s in our nature to mourn when we see history lost – but it’s also in our nature to rebuild for tomorrow, as strong as we can. https://t.co/SpMEvv1BzB"
en-gb,Melbourne,"RT @BishopComensoli: Notre Dame is not, and never should be, just a museum | Catholic Herald https://t.co/LGtArcJdzx"
